PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,200 Green Valley Rd,Stratford,CT,6614,290000,3,2.5,1845,13939,1956,0,http://www.redfin.com/CT/Stratford/200-Green-Valley-Rd-06614/home/107226131,41.2259449,-73.1557738
Condo/Co-op,143 Hoyt St Unit 7F/7G,Stamford,CT,6905,669000,3,3,2896,0,1976,1550,http://www.redfin.com/CT/Stamford/143-Hoyt-St-06905/unit-7F/home/107099035,41.060415,-73.5346527
Single Family Residential,40 Perry Ln,Stratford,CT,6614,495000,3,2.5,2050,13939,2020,0,http://www.redfin.com/CT/Stratford/40-Perry-Ln-06614/home/145879439,41.2256359,-73.15328
Single Family Residential,35 Perry Ln,Stratford,CT,6614,495000,3,2.5,2050,13939,2020,0,http://www.redfin.com/CT/Stratford/35-Perry-Ln-06614/home/168771320,41.2251589,-73.1530557
Single Family Residential,43 Jog Hill Rd,Trumbull,CT,6611,449900,4,2.5,3125,35283,1964,0,http://www.redfin.com/CT/Trumbull/43-Jog-Hill-Rd-06611/home/107198697,41.2747325,-73.1973947
Condo/Co-op,143 Hoyt St Unit 7 F/G,Stamford,CT,6905,669000,3,3,2896,0,1976,0,http://www.redfin.com/CT/Stamford/143-Hoyt-St-06905/unit-7-F-G/home/146894579,41.06068,-73.5344975
Single Family Residential,71 Bonnie View Dr,Trumbull,CT,6611,307400,3,2.5,2422,25264,1993,0,http://www.redfin.com/CT/Trumbull/71-Bonnie-View-Dr-06611/home/107206275,41.2298927,-73.2140922
Single Family Residential,108 Coventry Ln,Trumbull,CT,6611,638500,4,2.5,3544,53578,1989,0,http://www.redfin.com/CT/Trumbull/108-Coventry-Ln-06611/home/107203644,41.2951469,-73.2477167
Single Family Residential,37 Pauline St,Trumbull,CT,6611,549900,4,2.5,2445,15681,2005,0,http://www.redfin.com/CT/Trumbull/37-Pauline-St-06611/home/107207390,41.2286998,-73.1629066
Single Family Residential,80 Cranbury Dr,Trumbull,CT,6611,689000,3,2.5,3034,44431,1994,0,http://www.redfin.com/CT/Trumbull/80-Cranbury-Dr-06611/home/107202319,41.2927218,-73.2054599
Single Family Residential,80 High Ridge Rd,Trumbull,CT,6611,569000,4,2.5,3150,43995,1973,0,http://www.redfin.com/CT/Trumbull/80-High-Ridge-Rd-06611/home/107204216,41.2887452,-73.2675682
Single Family Residential,211 Putting Green Rd,Trumbull,CT,6611,599900,4,2.5,2699,40075,1978,0,http://www.redfin.com/CT/Trumbull/211-Putting-Green-Rd-06611/home/107204048,41.2676204,-73.2072918
Single Family Residential,129 Broadway,Trumbull,CT,6611,497000,3,2.5,2112,43560,1978,0,http://www.redfin.com/CT/Trumbull/129-Broadway-06611/home/107200148,41.2811069,-73.2288513
