state,city,population,location
Alabama,Akron town,356,"Akron town, Alabama"
Alabama,Moody city,11726,"Moody city, Alabama"
Alabama,Clayton town,3008,"Clayton town, Alabama"
Alabama,Cleveland town,1303,"Cleveland town, Alabama"
Alabama,Eva town,519,"Eva town, Alabama"
Alabama,Mobile city,195111,"Mobile city, Alabama"
Alabama,Calera city,11620,"Calera city, Alabama"
Alabama,Livingston city,3485,"Livingston city, Alabama"
Alabama,Sulligent city,1927,"Sulligent city, Alabama"
Alabama,Garden City town,492,"Garden City town, Alabama"
Alabama,Napier Field town,354,"Napier Field town, Alabama"
Alabama,Haleburg town,103,"Haleburg town, Alabama"
Alabama,Citronelle city,3905,"Citronelle city, Alabama"
Alabama,Altoona town,933,"Altoona town, Alabama"
Alabama,Lexington town,735,"Lexington town, Alabama"
Alabama,Kellyton town,217,"Kellyton town, Alabama"
Alabama,Hayneville town,932,"Hayneville town, Alabama"
Alabama,Cowarts town,1871,"Cowarts town, Alabama"
Alabama,Oxford city,21348,"Oxford city, Alabama"
Alabama,Creola city,1926,"Creola city, Alabama"
Alabama,Irondale city,12349,"Irondale city, Alabama"
Alabama,Piedmont city,4878,"Piedmont city, Alabama"
Alabama,Detroit town,237,"Detroit town, Alabama"
Alabama,La Fayette city,3003,"La Fayette city, Alabama"
Alabama,Pine Hill town,975,"Pine Hill town, Alabama"
Alabama,Ridgeville town,112,"Ridgeville town, Alabama"
Alabama,Arab city,8050,"Arab city, Alabama"
Alabama,Union town,237,"Union town, Alabama"
Alabama,Bay Minette city,8044,"Bay Minette city, Alabama"
Alabama,Aliceville city,2486,"Aliceville city, Alabama"
Alabama,Huntsville city,180105,"Huntsville city, Alabama"
Alabama,Albertville city,21160,"Albertville city, Alabama"
Alabama,Dozier town,329,"Dozier town, Alabama"
Alabama,Smiths Station city,4926,"Smiths Station city, Alabama"
Alabama,West Jefferson town,338,"West Jefferson town, Alabama"
Alabama,Brent city,4947,"Brent city, Alabama"
Alabama,Walnut Grove town,698,"Walnut Grove town, Alabama"
Alabama,Montgomery city,205764,"Montgomery city, Alabama"
Alabama,Rainsville city,4948,"Rainsville city, Alabama"
Alabama,Weaver city,3038,"Weaver city, Alabama"
Alabama,Grant town,896,"Grant town, Alabama"
Alabama,Oak Grove town,528,"Oak Grove town, Alabama"
Alabama,Vina town,358,"Vina town, Alabama"
Alabama,Greensboro city,2497,"Greensboro city, Alabama"
Alabama,Athens city,21897,"Athens city, Alabama"
Alabama,Brilliant town,900,"Brilliant town, Alabama"
Alabama,Cusseta town,123,"Cusseta town, Alabama"
Alabama,Selma city,20756,"Selma city, Alabama"
Alabama,Birmingham city,212237,"Birmingham city, Alabama"
Alabama,Mountain Brook city,20413,"Mountain Brook city, Alabama"
Alabama,River Falls town,526,"River Falls town, Alabama"
Alabama,Taylor town,2375,"Taylor town, Alabama"
Alabama,Guin city,2376,"Guin city, Alabama"
Alabama,Butler town,1894,"Butler town, Alabama"
Alabama,Muscle Shoals city,13146,"Muscle Shoals city, Alabama"
Alabama,Somerville town,724,"Somerville town, Alabama"
Alabama,Jackson city,5228,"Jackson city, Alabama"
Alabama,Mentone town,360,"Mentone town, Alabama"
Alabama,Eufaula city,13137,"Eufaula city, Alabama"
Alabama,Brookwood town,1828,"Brookwood town, Alabama"
Alabama,Cedar Bluff town,1820,"Cedar Bluff town, Alabama"
Alabama,Town Creek town,1100,"Town Creek town, Alabama"
Alabama,Leeds city,11773,"Leeds city, Alabama"
Alabama,Centre city,3489,"Centre city, Alabama"
Alabama,Lineville city,2395,"Lineville city, Alabama"
Alabama,Notasulga town,965,"Notasulga town, Alabama"
Alabama,Robertsdale city,5276,"Robertsdale city, Alabama"
Alabama,Loachapoka town,180,"Loachapoka town, Alabama"
Alabama,Gu-Win town,176,"Gu-Win town, Alabama"
Alabama,Excel town,723,"Excel town, Alabama"
Alabama,Oak Hill town,26,"Oak Hill town, Alabama"
Alabama,Leighton town,729,"Leighton town, Alabama"
Alabama,Midway town,499,"Midway town, Alabama"
Alabama,Wilsonville town,1827,"Wilsonville town, Alabama"
Alabama,Sumiton city,2520,"Sumiton city, Alabama"
Alabama,Arley town,357,"Arley town, Alabama"
Alabama,Clio city,1399,"Clio city, Alabama"
Alabama,Mosses town,1029,"Mosses town, Alabama"
Alabama,Geraldine town,896,"Geraldine town, Alabama"
Alabama,Wilton town,687,"Wilton town, Alabama"
Alabama,McKenzie town,530,"McKenzie town, Alabama"
Alabama,Frisco City town,1309,"Frisco City town, Alabama"
Alabama,Ider town,723,"Ider town, Alabama"
Alabama,Magnolia Springs town,723,"Magnolia Springs town, Alabama"
Alabama,Orrville town,204,"Orrville town, Alabama"
Alabama,Banks town,179,"Banks town, Alabama"
Alabama,Glen Allen town,510,"Glen Allen town, Alabama"
Alabama,Sanford town,241,"Sanford town, Alabama"
Alabama,Sylvania town,1837,"Sylvania town, Alabama"
Alabama,Gardendale city,13893,"Gardendale city, Alabama"
Alabama,Daphne city,21570,"Daphne city, Alabama"
Alabama,Crossville town,1862,"Crossville town, Alabama"
Alabama,Pinson city,7163,"Pinson city, Alabama"
Alabama,Maplesville town,708,"Maplesville town, Alabama"
Alabama,Geiger town,170,"Geiger town, Alabama"
Alabama,Sylacauga city,12749,"Sylacauga city, Alabama"
Alabama,Gordonville town,326,"Gordonville town, Alabama"
Alabama,Heflin city,3480,"Heflin city, Alabama"
Alabama,Autaugaville town,870,"Autaugaville town, Alabama"
Alabama,Hammondville town,488,"Hammondville town, Alabama"
Alabama,Woodland town,184,"Woodland town, Alabama"
Alabama,Edwardsville town,202,"Edwardsville town, Alabama"
Alabama,Evergreen city,3944,"Evergreen city, Alabama"
Alabama,Douglas town,744,"Douglas town, Alabama"
Alabama,Lowndesboro town,115,"Lowndesboro town, Alabama"
Alabama,Red Bay city,3158,"Red Bay city, Alabama"
Alabama,Brighton city,2945,"Brighton city, Alabama"
Alabama,Avon town,543,"Avon town, Alabama"
Alabama,Brewton city,5408,"Brewton city, Alabama"
Alabama,Natural Bridge town,37,"Natural Bridge town, Alabama"
Alabama,Nectar town,345,"Nectar town, Alabama"
Alabama,Guntersville city,8197,"Guntersville city, Alabama"
Alabama,Gordo town,1750,"Gordo town, Alabama"
Alabama,Bon Air town,116,"Bon Air town, Alabama"
Alabama,Newbern town,186,"Newbern town, Alabama"
Alabama,Pike Road town,5406,"Pike Road town, Alabama"
Alabama,Eldridge town,130,"Eldridge town, Alabama"
Alabama,Myrtlewood town,130,"Myrtlewood town, Alabama"
Alabama,Horn Hill town,228,"Horn Hill town, Alabama"
Alabama,Woodstock town,1428,"Woodstock town, Alabama"
Alabama,Heath town,254,"Heath town, Alabama"
Alabama,Union Springs city,3980,"Union Springs city, Alabama"
Alabama,Riverview town,184,"Riverview town, Alabama"
Alabama,Bayou La Batre city,2558,"Bayou La Batre city, Alabama"
Alabama,Onycha town,184,"Onycha town, Alabama"
Alabama,Tallassee city,4819,"Tallassee city, Alabama"
Alabama,Libertyville town,117,"Libertyville town, Alabama"
Alabama,Marion city,3686,"Marion city, Alabama"
Alabama,Red Level town,487,"Red Level town, Alabama"
Alabama,Auburn city,53380,"Auburn city, Alabama"
Alabama,Greenville city,8135,"Greenville city, Alabama"
